Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,IDLE,0.008,0.955,0.947,0.0,0.0854,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
2,IDLE,0.007,0.884,0.876,0.0,0.0789,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
3,IDLE,0.005,0.956,0.951,0.0,0.0857,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
4,IDLE,0.001,1.062,1.061,0.0,0.0956,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
5,IDLE,0.0,0.986,0.985,0.0,0.0888,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
6,IDLE,0.012,1.096,1.083,0.0,0.0976,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
7,IDLE,0.073,1.006,0.933,0.0,0.0841,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
8,ARB (Charge),0.204,1.27,6.866,0.0,0.6186,0.0,100.0,1,6.141,5.8,5.8,25.84,10.336,36.0
9,ARB (Charge),0.427,2.075,6.849,0.0,1.0671,0.0,100.0,1,4.46,5.2,5.2,37.8,15.12,36.0
10,ARB (Charge),0.78,3.467,6.888,0.0,1.0731,0.0,100.0,1,5.382,4.2,4.2,47.46,18.984,36.0
11,IDLE,1.23,3.669,2.439,0.0,0.5444,0.0,100.0,1,0.0,0.0,0.0,47.46,18.984,36.0
12,IDLE,1.623,3.58,1.957,0.0,0.4368,0.0,100.0,1,0.0,0.0,0.0,47.46,18.984,36.0
13,IDLE,1.887,3.315,1.428,0.0,0.2224,0.0,100.0,0,0.0,0.0,0.0,47.46,18.984,36.0
14,IDLE,2.001,2.828,0.828,0.0,0.1289,0.0,100.0,0,0.0,0.0,0.0,47.46,18.984,36.0
15,ARB (Charge),1.894,3.093,6.899,0.0,1.0749,0.0,100.0,1,6.9,5.7,5.7,60.57,24.228,36.0
16,ARB (Charge),1.695,3.374,6.878,0.0,1.0717,0.0,100.0,1,6.9,5.2,5.2,72.53,29.012,36.0
17,ARB (Charge),1.314,2.638,6.824,0.0,1.0631,0.0,100.0,1,2.3,5.5,5.5,85.18,34.072,36.0
18,ARB (Charge),0.838,1.83,6.892,0.0,1.0737,0.0,100.0,1,2.3,5.9,5.9,98.75,39.5,36.0
19,IDLE,0.356,1.313,0.957,0.0,0.2137,0.0,100.0,0,0.0,0.0,0.0,98.75,39.5,36.0
20,IDLE,0.073,1.088,1.016,0.0,0.2267,0.0,100.0,0,0.0,0.0,0.0,98.75,39.5,36.0
21,IDLE,0.008,1.123,1.115,0.0,0.1737,0.0,100.0,0,0.0,0.0,0.0,98.75,39.5,36.0
22,IDLE,0.008,1.109,1.101,0.0,0.1716,0.0,100.0,0,0.0,0.0,0.0,98.75,39.5,36.0
23,IDLE,0.008,1.153,1.145,0.0,0.1032,0.0,100.0,0,0.0,0.0,0.0,98.75,39.5,36.0
24,IDLE,0.009,1.09,1.081,0.0,0.0974,0.0,100.0,0,0.0,0.0,0.0,98.75,39.5,36.0
