Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,IDLE,0.008,0.955,0.947,0.0,0.0854,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
2,IDLE,0.007,0.884,0.876,0.0,0.0789,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
3,IDLE,0.005,0.956,0.951,0.0,0.0857,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
4,ARB (Pure Charge),0.001,1.062,3.561,0.0,0.3209,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0
5,ARB (Pure Charge),0.0,0.986,3.485,0.0,0.314,2.5,2.5,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0
6,ARB (Pure Charge),0.012,1.096,3.583,0.0,0.3229,2.5,2.5,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0
7,ARB (Pure Charge),0.073,1.006,2.133,0.0,0.1922,1.263,1.2,99.39,0,0.0,0.0,0.0,12.5,5.0,36.0
8,ARB (Mixed Charge),0.204,1.27,4.366,0.0,0.3933,-0.759,-2.5,73.62,1,6.9,5.8,5.8,25.84,10.336,36.0
9,ARB (Mixed Charge),0.427,2.075,4.349,0.0,0.6776,-2.5,-2.5,47.84,1,6.9,5.2,5.2,37.8,15.12,36.0
10,ARB (Mixed Charge),0.78,3.467,4.388,0.0,0.6836,-2.5,-2.5,22.07,1,3.806,4.2,4.2,47.46,18.984,36.0
11,SC (Discharge),1.23,3.669,0.039,0.0,0.0088,-0.594,-1.6,5.58,1,0.0,-0.8,-0.8,45.29,18.114,36.0
12,SC (Discharge),1.623,3.58,0.057,0.0,0.0128,-2.5,0.0,5.58,1,2.977,-1.9,-1.9,40.12,16.049,36.0
13,SC (Charge),1.887,3.315,1.428,0.0,0.2224,1.403,0.0,5.58,0,0.0,0.0,0.0,40.12,16.049,36.0
14,SC (Charge),2.001,2.828,0.828,0.0,0.1289,2.174,0.0,5.58,0,0.0,0.0,0.0,40.12,16.049,36.0
15,ARB (Mixed Charge),1.894,3.093,6.899,0.0,1.0749,-2.5,0.0,5.58,1,6.9,5.7,5.7,53.23,21.293,36.0
16,ARB (EV Charge Only),1.695,3.374,6.878,0.0,1.0717,0.0,0.0,5.58,1,2.3,5.2,5.2,65.19,26.077,36.0
17,ARB (EV Charge Only),1.314,2.638,6.824,0.0,1.0631,0.0,0.0,5.58,1,2.3,5.5,5.5,77.84,31.137,36.0
18,ARB (EV Charge Only),0.838,1.83,6.892,0.0,1.0737,0.0,0.0,5.58,1,2.3,5.9,5.9,91.41,36.565,36.0
19,SC (Discharge),0.356,1.313,0.957,0.0,0.2137,-0.423,0.0,5.58,0,0.0,0.0,0.0,91.41,36.565,36.0
20,SC (Discharge),0.073,1.088,1.016,0.0,0.2267,-0.906,0.0,5.58,0,0.0,0.0,0.0,91.41,36.565,36.0
21,SC (Discharge),0.008,1.123,1.115,0.0,0.1737,-0.383,0.0,5.58,0,0.0,0.0,0.0,91.41,36.565,36.0
22,IDLE,0.008,1.109,1.101,0.0,0.1716,0.0,0.0,5.58,0,0.0,0.0,0.0,91.41,36.565,36.0
23,ARB (Pure Charge),0.008,1.153,3.645,0.0,0.3284,1.624,2.5,29.83,0,0.0,0.0,0.0,91.41,36.565,36.0
24,ARB (Pure Charge),0.009,1.09,3.581,0.0,0.3226,2.5,2.5,54.08,0,0.0,0.0,0.0,91.41,36.565,36.0
