Hora,Modo_Operacao,Preco_Imp,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh,Alpha_EV2,Opt_EV2_kW,Cmd_EV2_kW,Act_EV2_kW,SOC_EV2_%,Energy_EV2_kWh,Target_Energy_EV2_kWh
1,ARB (Pure Charge),0.0901,0.008,0.955,3.447,0.0,0.3106,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
2,ARB (Pure Charge),0.0901,0.007,0.884,3.376,0.0,0.3042,2.5,2.5,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
3,ARB (Pure Charge),0.0901,0.005,0.956,3.451,0.0,0.3109,1.263,2.5,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
4,IDLE,0.0901,0.001,1.062,1.061,0.0,0.0956,0.0,0.0,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
5,IDLE,0.0901,0.0,0.986,0.985,0.0,0.0888,0.0,0.0,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
6,IDLE,0.0901,0.012,1.096,1.083,0.0,0.0976,0.0,0.0,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0,0,0.0,0.0,0.0,25.0,8.0,28.8
7,ARB (Pure Charge),0.0901,0.073,1.006,4.433,0.0,0.3994,2.5,1.2,99.39,0,0.0,0.0,0.0,12.5,5.0,36.0,1,2.3,2.3,2.3,31.61,10.116,28.8
8,ARB (EV Charge Only),0.0901,0.204,1.27,6.866,0.0,0.6186,0.0,0.0,99.39,1,3.841,3.5,3.5,20.55,8.22,36.0,1,2.3,2.3,2.3,38.22,12.232,28.8
9,ARB (EV Charge Only),0.1558,0.427,2.075,6.849,0.0,1.0671,0.0,0.0,99.39,1,5.891,5.2,5.2,32.51,13.004,36.0,0,0.0,0.0,0.0,38.22,12.232,28.8
10,ARB (EV Charge Only),0.1558,0.78,3.467,6.888,0.0,1.0731,0.0,0.0,99.39,1,5.382,4.2,4.2,42.17,16.868,36.0,0,0.0,0.0,0.0,38.22,12.232,28.8
11,ARB (Mixed Charge),0.2232,1.23,3.669,2.239,0.0,0.4998,-2.5,-2.5,73.62,1,0.0,0.0,0.0,42.17,16.868,36.0,1,2.3,2.3,2.3,44.84,14.348,28.8
12,ARB (Mixed Discharge),0.2232,1.623,3.58,0.0,0.543,-0.0434,-2.5,-2.5,47.84,1,0.0,0.0,0.0,42.17,16.868,36.0,1,2.3,0.0,0.0,44.84,14.348,28.8
13,ARB (EV Charge Only),0.1558,1.887,3.315,3.728,0.0,0.5808,0.0,0.0,47.84,0,0.0,0.0,0.0,42.17,16.868,36.0,1,2.3,2.3,2.3,51.45,16.464,28.8
14,ARB (Pure Charge),0.1558,2.001,2.828,5.628,0.0,0.8768,0.319,2.5,72.09,0,0.0,0.0,0.0,42.17,16.868,36.0,1,2.3,2.3,2.3,58.06,18.58,28.8
15,ARB (EV Charge Only),0.1558,1.894,3.093,6.899,0.0,1.0749,0.0,0.0,72.09,1,4.6,3.4,3.4,49.99,19.996,36.0,1,2.3,2.3,2.3,64.68,20.696,28.8
16,ARB (EV Charge Only),0.1558,1.695,3.374,6.878,0.0,1.0717,0.0,0.0,72.09,1,4.6,2.9,2.9,56.66,22.664,36.0,1,2.3,2.3,2.3,71.29,22.812,28.8
17,ARB (EV Charge Only),0.1558,1.314,2.638,6.824,0.0,1.0631,0.0,0.0,72.09,1,3.169,3.2,3.2,64.02,25.608,36.0,1,2.3,2.3,2.3,77.9,24.928,28.8
18,ARB (EV Charge Only),0.1558,0.838,1.83,6.892,0.0,1.0737,0.0,0.0,72.09,1,6.9,5.9,5.9,77.59,31.036,36.0,0,0.0,0.0,0.0,77.9,24.928,28.8
19,ARB (Discharge),0.2232,0.356,1.313,0.0,1.543,-0.1234,-2.5,-2.5,46.32,0,0.0,0.0,0.0,77.59,31.036,36.0,0,0.0,0.0,0.0,77.9,24.928,28.8
20,ARB (Discharge),0.2232,0.073,1.088,0.0,1.484,-0.1188,-2.5,-2.5,20.55,0,0.0,0.0,0.0,77.59,31.036,36.0,0,0.0,0.0,0.0,77.9,24.928,28.8
21,IDLE,0.1558,0.008,1.123,1.115,0.0,0.1737,0.0,0.0,20.55,0,0.0,0.0,0.0,77.59,31.036,36.0,0,0.0,0.0,0.0,77.9,24.928,28.8
22,IDLE,0.1558,0.008,1.109,1.101,0.0,0.1716,0.0,0.0,20.55,0,0.0,0.0,0.0,77.59,31.036,36.0,0,0.0,0.0,0.0,77.9,24.928,28.8
23,ARB (Pure Charge),0.0901,0.008,1.153,3.645,0.0,0.3284,1.624,2.5,44.8,0,0.0,0.0,0.0,77.59,31.036,36.0,0,0.0,0.0,0.0,77.9,24.928,28.8
24,ARB (Pure Charge),0.0901,0.009,1.09,3.581,0.0,0.3226,2.5,2.5,69.05,0,0.0,0.0,0.0,77.59,31.036,36.0,0,0.0,0.0,0.0,77.9,24.928,28.8
