Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,IDLE,0.02,0.955,0.935,0.0,0.0843,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
2,IDLE,0.018,0.884,0.865,0.0,0.078,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
3,IDLE,0.013,0.956,0.943,0.0,0.085,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
4,IDLE,0.002,1.062,1.06,0.0,0.0955,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
5,IDLE,0.0,0.986,0.985,0.0,0.0888,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
6,IDLE,0.03,1.096,1.065,0.0,0.096,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
7,IDLE,0.182,1.006,0.824,0.0,0.0743,0.0,100.0,0,0.0,0.0,0.0,12.5,5.0,36.0
8,ARB (Charge),0.511,1.27,6.859,0.0,0.618,0.0,100.0,1,6.141,6.1,6.1,26.53,10.612,36.0
9,ARB (Charge),1.066,2.075,6.809,0.0,1.0608,0.0,100.0,1,5.891,5.8,5.8,39.87,15.948,36.0
10,ARB (Charge),1.949,3.467,6.818,0.0,1.0623,0.0,100.0,1,5.382,5.3,5.3,52.06,20.824,36.0
11,V2H,3.075,3.669,0.094,0.0,0.021,0.0,100.0,1,-0.594,-0.5,-0.5,50.7,20.281,36.0
12,IDLE,4.057,3.58,0.0,0.077,-0.0154,0.0,100.0,1,0.0,0.4,0.4,51.62,20.649,36.0
13,IDLE,4.718,3.315,0.0,1.403,-0.2807,0.0,100.0,0,0.0,0.0,0.0,51.62,20.649,36.0
14,IDLE,5.002,2.828,0.0,2.174,-0.4348,0.0,100.0,0,0.0,0.0,0.0,51.62,20.649,36.0
15,ARB (Discharge),4.735,3.093,0.0,6.842,-1.3683,0.0,100.0,1,-2.5,-5.2,-5.2,37.49,14.996,36.0
16,ARB (Charge),4.238,3.374,6.836,0.0,1.065,0.0,100.0,1,6.9,7.7,7.7,55.2,22.08,36.0
17,ARB (Charge),3.285,2.638,6.852,0.0,1.0676,0.0,100.0,1,6.9,7.5,7.5,72.45,28.98,36.0
18,ARB (Charge),2.096,1.83,6.834,0.0,1.0648,0.0,100.0,1,6.9,7.1,7.1,88.78,35.512,36.0
19,IDLE,0.89,1.313,0.423,0.0,0.0945,0.0,100.0,0,0.0,0.0,0.0,88.78,35.512,36.0
20,IDLE,0.182,1.088,0.906,0.0,0.2023,0.0,100.0,0,0.0,0.0,0.0,88.78,35.512,36.0
21,IDLE,0.02,1.123,1.103,0.0,0.1718,0.0,100.0,0,0.0,0.0,0.0,88.78,35.512,36.0
22,IDLE,0.019,1.109,1.09,0.0,0.1698,0.0,100.0,0,0.0,0.0,0.0,88.78,35.512,36.0
23,IDLE,0.021,1.153,1.132,0.0,0.102,0.0,100.0,0,0.0,0.0,0.0,88.78,35.512,36.0
24,IDLE,0.022,1.09,1.068,0.0,0.0962,0.0,100.0,0,0.0,0.0,0.0,88.78,35.512,36.0
