Hora,Modo_Operacao,PV_kW,Load_kW,Grid_Import_kW,Grid_Export_kW,Custo_Hora_Euros,Opt_BESS_kW,Setpoint_BESS_kW,SOC_BESS_%,Alpha_EV1,Opt_EV1_kW,Cmd_EV1_kW,Act_EV1_kW,SOC_EV1_%,Energy_EV1_kWh,Target_Energy_EV1_kWh
1,IDLE,0.02,0.955,0.935,0.0,0.0843,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
2,IDLE,0.018,0.884,0.865,0.0,0.078,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
3,IDLE,0.013,0.956,0.943,0.0,0.085,0.0,0.0,15.0,0,0.0,0.0,0.0,12.5,5.0,36.0
4,ARB (Pure Charge),0.002,1.062,3.56,0.0,0.3208,2.5,2.5,39.25,0,0.0,0.0,0.0,12.5,5.0,36.0
5,ARB (Pure Charge),0.0,0.986,3.485,0.0,0.314,2.5,2.5,63.5,0,0.0,0.0,0.0,12.5,5.0,36.0
6,ARB (Pure Charge),0.03,1.096,3.565,0.0,0.3212,2.5,2.5,87.75,0,0.0,0.0,0.0,12.5,5.0,36.0
7,ARB (Pure Charge),0.182,1.006,2.024,0.0,0.1824,1.263,1.2,99.39,0,0.0,0.0,0.0,12.5,5.0,36.0
8,ARB (Mixed Charge),0.511,1.27,4.359,0.0,0.3927,-0.759,-2.5,73.62,1,6.9,6.1,6.1,26.53,10.612,36.0
9,ARB (Mixed Charge),1.066,2.075,4.309,0.0,0.6713,-2.5,-2.5,47.84,1,6.9,5.8,5.8,39.87,15.948,36.0
10,ARB (Mixed Charge),1.949,3.467,4.318,0.0,0.6728,-2.5,-2.5,22.07,1,3.806,5.3,5.3,52.06,20.824,36.0
11,SC (Discharge),3.075,3.669,0.094,0.0,0.021,-0.594,-0.5,16.92,1,0.0,0.0,0.0,52.06,20.824,36.0
12,SC (Discharge),4.057,3.58,0.0,0.477,-0.0381,-2.5,0.0,16.92,1,2.977,0.0,0.0,52.06,20.824,36.0
13,SC (Charge),4.718,3.315,0.0,0.003,-0.0003,1.403,1.4,30.5,0,0.0,0.0,0.0,52.06,20.824,36.0
14,SC (Charge),5.002,2.828,0.0,0.074,-0.0059,2.174,2.1,50.87,0,0.0,0.0,0.0,52.06,20.824,36.0
15,ARB (Mixed Charge),4.735,3.093,4.358,0.0,0.679,-2.5,-2.5,25.09,1,6.9,8.5,8.5,71.61,28.644,36.0
16,ARB (EV Charge Only),4.238,3.374,6.836,0.0,1.065,0.0,0.0,25.09,1,2.3,7.7,7.7,89.32,35.728,36.0
17,ARB (EV Charge Only),3.285,2.638,3.996,0.0,0.6226,0.0,0.0,25.09,1,2.3,7.5,4.643,100.0,40.0,36.0
18,ARB (EV Charge Only),2.096,1.83,0.0,0.266,-0.0213,0.0,0.0,25.09,1,2.3,7.1,0.0,100.0,40.0,36.0
19,SC (Discharge),0.89,1.313,0.023,0.0,0.0052,-0.423,-0.4,20.97,0,0.0,0.0,0.0,100.0,40.0,36.0
20,SC (Discharge),0.182,1.088,0.006,0.0,0.0014,-0.906,-0.9,11.69,0,0.0,0.0,0.0,100.0,40.0,36.0
21,SC (Discharge),0.02,1.123,0.503,0.0,0.0784,-0.383,-0.6,5.5,0,0.0,0.0,0.0,100.0,40.0,36.0
22,IDLE,0.019,1.109,1.09,0.0,0.1698,0.0,0.0,5.5,0,0.0,0.0,0.0,100.0,40.0,36.0
23,ARB (Pure Charge),0.021,1.153,3.632,0.0,0.3273,1.624,2.5,29.75,0,0.0,0.0,0.0,100.0,40.0,36.0
24,ARB (Pure Charge),0.022,1.09,3.568,0.0,0.3215,2.5,2.5,54.0,0,0.0,0.0,0.0,100.0,40.0,36.0
